Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=0B1EC54E2CC9D8027F17697DD9D1F7DC?SERIES_KEY=165.YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y&start=01-01-2008&end=01-01-2013&submitOptions.x=0&submitOptions.y=0&trans=N
;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_1Y
;Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve spot rate, 1-year maturity - Euro, provided by ECB
Collection:;End of period (E)
Period\Unit:;[Percent per annum ]
31.12.2012;-0,038158
28.12.2012;-0,036196
27.12.2012;-0,02595
24.12.2012;-0,035913
21.12.2012;-0,033691
20.12.2012;-0,03325
19.12.2012;-0,028938
18.12.2012;-0,032454
17.12.2012;-0,039157
14.12.2012;-0,047318
13.12.2012;-0,048342
12.12.2012;-0,048011
11.12.2012;-0,050383
10.12.2012;-0,051744
7.12.2012;-0,052296
6.12.2012;-0,033435
5.12.2012;-0,023274
4.12.2012;-0,0155
3.12.2012;-0,017684
30.11.2012;-0,020727
29.11.2012;-0,020809
28.11.2012;-0,027189
27.11.2012;-0,016557
26.11.2012;-0,021188
23.11.2012;-0,025156
22.11.2012;-0,020163
21.11.2012;-0,018376
20.11.2012;-0,024299
19.11.2012;-0,033789
16.11.2012;-0,042613
15.11.2012;-0,037822
14.11.2012;-0,03405
13.11.2012;-0,046699
12.11.2012;-0,03805
9.11.2012;-0,043889
8.11.2012;-0,03932
7.11.2012;-0,047476
6.11.2012;-0,029356
5.11.2012;-0,016521
2.11.2012;-0,020014
1.11.2012;-0,010819
31.10.2012;-0,01077
30.10.2012;-0,017334
29.10.2012;-0,006346
26.10.2012;-0,004793
25.10.2012;0,0028
24.10.2012;0,006499
23.10.2012;0,016613
22.10.2012;0,024215
19.10.2012;0,011762
18.10.2012;0,0131
17.10.2012;0,003249
16.10.2012;-0,006801
15.10.2012;-0,01757
12.10.2012;-0,021985
11.10.2012;-0,012874
10.10.2012;-0,020805
9.10.2012;-0,016454
8.10.2012;-0,022788
5.10.2012;-0,005369
4.10.2012;-0,011213
3.10.2012;-0,016101
2.10.2012;-0,013017
1.10.2012;-0,00724
28.09.2012;-0,013759
27.09.2012;-0,009924
26.09.2012;-0,014318
25.09.2012;-0,006425
24.09.2012;-0,01164
21.09.2012;-0,011566
20.09.2012;-0,01537
19.09.2012;-0,004205
18.09.2012;0,000368
17.09.2012;0,006878
14.09.2012;0,018975
13.09.2012;-0,011198
12.09.2012;-0,016034
11.09.2012;-0,007985
10.09.2012;-0,013733
7.09.2012;-0,018762
6.09.2012;-0,026272
5.09.2012;-0,060524
4.09.2012;-0,047763
3.09.2012;-0,042632
31.08.2012;-0,053211
30.08.2012;-0,063032
29.08.2012;-0,042571
28.08.2012;-0,04384
