observation_date	GDP_20080130	GDP_20080228	GDP_20080327	GDP_20080430	GDP_20080529	GDP_20080626	GDP_20080731	GDP_20080828	GDP_20080926	GDP_20081030	GDP_20081125	GDP_20081223	GDP_20090130	GDP_20090227	GDP_20090429	GDP_20090529	GDP_20090625	GDP_20090731	GDP_20090827	GDP_20090930	GDP_20091029	GDP_20091124	GDP_20091222	GDP_20100129	GDP_20100226	GDP_20100326	GDP_20100430	GDP_20100625	GDP_20100730	GDP_20100827	GDP_20100930	GDP_20101029	GDP_20101123	GDP_20101222	GDP_20110128	GDP_20110225	GDP_20110325	GDP_20110428	GDP_20110526	GDP_20110624	GDP_20110729	GDP_20110826	GDP_20110929	GDP_20111027	GDP_20111122	GDP_20111222	GDP_20120127	GDP_20120229	GDP_20120329	GDP_20120427	GDP_20120531	GDP_20120628	GDP_20120727	GDP_20120829	GDP_20120927	GDP_20121026	GDP_20121129	GDP_20121220
2008-01-01				14185.2	14195.6	14201.1	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14150.8	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14373.9	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14328.4	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9	14273.9
2008-04-01							14256.5	14312.5	14294.5	14294.5	14294.5	14294.5	14294.5	14294.5	14294.5	14294.5	14294.5	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14497.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14471.8	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5	14415.5
2008-07-01										14429.2	14420.5	14412.8	14412.8	14412.8	14412.8	14412.8	14412.8	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14546.7	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14484.9	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1	14395.1
2008-10-01													14264.6	14200.3	14200.3	14200.3	14200.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14347.3	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14191.2	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7	14081.7
2009-01-01															14075.5	14089.7	14097.2	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14178.0	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	14049.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13893.7	13923.4	13923.4	13923.4	13923.4	13923.4	13923.4
2009-04-01																		14149.8	14143.3	14151.2	14151.2	14151.2	14151.2	14151.2	14151.2	14151.2	14151.2	14151.2	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	14034.5	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13854.1	13885.4	13885.4	13885.4	13885.4	13885.4	13885.4
2009-07-01																					14301.5	14266.3	14242.1	14242.1	14242.1	14242.1	14242.1	14242.1	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	14114.7	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13920.5	13952.2	13952.2	13952.2	13952.2	13952.2	13952.2
2009-10-01																								14463.4	14461.7	14453.8	14453.8	14453.8	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14277.3	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14087.4	14133.6	14133.6	14133.6	14133.6	14133.6	14133.6
2010-01-01																											14601.4	14592.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14446.4	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14277.9	14270.3	14270.3	14270.3	14270.3	14270.3	14270.3
2010-04-01																													14597.7	14575.0	14578.7	14578.7	14578.7	14578.7	14578.7	14578.7	14578.7	14578.7	14578.7	14578.7	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14467.8	14413.5	14413.5	14413.5	14413.5	14413.5	14413.5
