Date,1 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
2012-12-31,0.02,0.05,0.11,0.16,0.25,0.36,0.72,1.18,1.78,2.54,2.95
2012-12-28,0.0,0.01,0.1,0.15,0.27,0.36,0.72,1.15,1.73,2.47,2.88
2012-12-27,0.01,0.08,0.12,0.15,0.26,0.37,0.72,1.15,1.74,2.48,2.89
2012-12-26,0.05,0.09,0.13,0.16,0.26,0.39,0.76,1.2,1.77,2.52,2.94
2012-12-24,0.03,0.06,0.11,0.16,0.26,0.38,0.77,1.22,1.79,2.53,2.94
2012-12-21,0.02,0.06,0.12,0.15,0.26,0.38,0.75,1.2,1.77,2.52,2.93
2012-12-20,0.02,0.06,0.1,0.15,0.28,0.39,0.77,1.24,1.81,2.57,2.98
2012-12-19,0.03,0.05,0.1,0.15,0.28,0.39,0.77,1.24,1.82,2.58,2.99
2012-12-18,0.04,0.06,0.12,0.16,0.28,0.39,0.78,1.25,1.84,2.59,3.0
2012-12-17,0.01,0.05,0.1,0.13,0.25,0.37,0.74,1.2,1.78,2.53,2.94
2012-12-14,0.01,0.04,0.09,0.13,0.24,0.34,0.7,1.15,1.72,2.46,2.87
2012-12-13,0.02,0.06,0.11,0.14,0.27,0.34,0.7,1.15,1.74,2.49,2.9
2012-12-12,0.04,0.07,0.1,0.14,0.25,0.32,0.66,1.11,1.72,2.48,2.9
2012-12-11,0.04,0.08,0.13,0.16,0.24,0.32,0.64,1.06,1.66,2.41,2.83
2012-12-10,0.05,0.09,0.14,0.18,0.24,0.33,0.62,1.04,1.63,2.38,2.8
2012-12-07,0.06,0.09,0.14,0.18,0.25,0.33,0.63,1.04,1.64,2.39,2.81
2012-12-06,0.07,0.1,0.14,0.18,0.25,0.32,0.6,1.0,1.59,2.33,2.76
2012-12-05,0.07,0.1,0.14,0.18,0.25,0.32,0.61,1.02,1.6,2.35,2.78
2012-12-04,0.07,0.1,0.15,0.18,0.25,0.34,0.63,1.04,1.62,2.36,2.78
2012-12-03,0.13,0.1,0.14,0.18,0.25,0.34,0.63,1.05,1.63,2.37,2.8
2012-11-30,0.11,0.08,0.13,0.18,0.25,0.34,0.61,1.04,1.62,2.37,2.81
2012-11-29,0.16,0.09,0.15,0.18,0.25,0.35,0.63,1.04,1.62,2.37,2.79
2012-11-28,0.17,0.1,0.14,0.18,0.27,0.35,0.64,1.05,1.63,2.36,2.79
